Time (s),Target (RPM),Actual (RPM),PWM (%),Step_ID
0.005130290985107422,20,0.0,15.7,1
0.05511617660522461,20,1.7142857142857142,12.054285714285713,1
0.10513114929199219,20,5.142857142857143,11.26,1
0.15521740913391113,20,3.4285714285714284,14.554285714285715,1
0.20534563064575195,20,5.142857142857143,14.274285714285714,1
0.2553553581237793,20,6.857142857142857,14.534285714285714,1
0.30544519424438477,20,6.857142857142857,15.994285714285715,1
0.3555126190185547,20,8.571428571428571,15.765714285714287,1
0.4056575298309326,20,8.571428571428571,17.080000000000002,1
0.45568060874938965,20,8.571428571428571,18.05142857142857,1
0.5057823657989502,20,10.285714285714286,17.677142857142858,1
0.5558390617370605,20,12.0,17.5,1
0.6060073375701904,20,10.285714285714286,19.868571428571425,1
0.6560912132263184,20,10.285714285714286,20.35142857142857,1
0.7060902118682861,20,13.714285714285714,18.485714285714284,1
0.7561976909637451,20,12.0,21.05142857142857,1
0.8062970638275146,20,12.0,21.38857142857143,1
0.8563933372497559,20,13.714285714285714,20.722857142857144,1
0.9080548286437988,20,13.714285714285714,21.6,1
0.9569196701049805,20,13.714285714285714,22.134285714285717,1
1.0067341327667236,20,13.714285714285714,22.668571428571433,1
1.0568091869354248,20,15.428571428571429,21.85714285714286,1
1.1069245338439941,20,13.714285714285714,23.934285714285718,1
1.1568994522094727,20,15.428571428571429,22.780000000000005,1
1.207033634185791,20,15.428571428571429,23.511428571428574,1
1.2570769786834717,20,15.428571428571429,23.9,1
1.3071770668029785,20,15.428571428571429,24.288571428571426,1
1.3572430610656738,20,15.428571428571429,24.677142857142854,1
1.4073331356048584,20,17.142857142857142,23.72,1
1.4574484825134277,20,15.428571428571429,25.651428571428564,1
1.5075206756591797,20,17.142857142857142,24.35142857142857,1
1.5576422214508057,20,17.142857142857142,24.937142857142852,1
1.6077213287353516,20,17.142857142857142,25.179999999999993,1
1.6577367782592773,20,17.142857142857142,25.422857142857133,1
1.7078304290771484,20,17.142857142857142,25.66571428571428,1
1.7579607963562012,20,17.142857142857142,25.90857142857142,1
1.8080129623413086,20,18.857142857142858,24.80571428571428,1
