Time (s),PWM (%),Speed (RPM)
0.051,60.0,20.57
0.101,60.0,42.86
0.152,60.0,48.0
0.202,60.0,49.71
0.252,60.0,51.43
0.303,60.0,51.43
0.353,60.0,51.43
0.403,60.0,49.71
0.454,60.0,51.43
0.504,60.0,49.71
0.554,60.0,51.43
0.605,60.0,51.43
0.655,60.0,51.43
0.705,60.0,49.71
0.756,60.0,51.43
0.806,60.0,51.43
0.857,60.0,49.71
0.907,60.0,51.43
0.957,60.0,51.43
1.007,60.0,49.71
1.058,60.0,51.43
1.108,60.0,49.71
1.158,60.0,49.71
1.209,60.0,51.43
1.259,60.0,51.43
1.309,60.0,49.71
1.36,60.0,49.71
1.41,60.0,49.71
1.46,60.0,49.71
1.51,60.0,51.43
1.561,60.0,51.43
1.611,60.0,49.71
1.661,60.0,51.43
1.712,60.0,49.71
1.762,60.0,51.43
1.812,60.0,49.71
1.863,60.0,49.71
1.913,60.0,51.43
1.963,60.0,51.43
2.014,60.0,51.43
