Time (s),PWM (%),Speed (RPM)
0.051,40.0,12.0
0.102,40.0,27.43
0.152,40.0,29.14
0.202,40.0,30.86
0.252,40.0,30.86
0.303,40.0,32.57
0.353,40.0,30.86
0.403,40.0,32.57
0.454,40.0,30.86
0.504,40.0,30.86
0.555,40.0,30.86
0.605,40.0,32.57
0.656,40.0,32.57
0.706,40.0,30.86
0.756,40.0,30.86
0.807,40.0,30.86
0.858,40.0,32.57
0.908,40.0,30.86
0.959,40.0,30.86
1.009,40.0,30.86
1.06,40.0,32.57
1.111,40.0,32.57
1.162,40.0,32.57
1.213,40.0,30.86
1.263,40.0,32.57
1.314,40.0,32.57
1.365,40.0,30.86
1.416,40.0,32.57
1.467,40.0,32.57
1.518,40.0,32.57
1.569,40.0,30.86
1.62,40.0,30.86
1.67,40.0,30.86
1.721,40.0,32.57
1.771,40.0,30.86
1.821,40.0,32.57
1.872,40.0,30.86
1.922,40.0,32.57
1.972,40.0,30.86
2.023,40.0,32.57
